SurveyYear,SurveyPeriod,SiteName,StartDate,EndDate,Race,EstimatedAnnualIncome,ZipCode,SurveyResponseID,Q1 - DoMoreVolunteerWork,Q2 - SeeFriendsMore,Q3 - TakeCareOfHealth,Q4 - EatBetterMeals,Q5 - HaveMoreEnergy,Q6 - FeelHappier,Q7 - SomethingToLookForwardTo,Q8 - KnowWhereToAsk,Q9 - FeelIndependent,Q10 - FeelSeniorCenterPositiveEffect,Q11 - LearnNewThings,Q12 - LearnedAboutServices,Q13 - MoreActive,Q14 - WouldRecommendSeniorCenter,Open1 - HowSeniorCenterChangedLife,Open2 - ParticipateInTheseActivities
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,11,Almost Never,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,NULL,"Enhanced fitness, meals"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Asian, Asian-American ","Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,12,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"I love the senior center.It helps to structure my day. I love the computers, coffee and people!!","Computers, lunch, socializing and exercise walking to the senior center."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,Other ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98105,13,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"It has given me new direction and momentum for my life, in particular the social work services.","Social work services, computer classes, knitting, senior lunch program, general socializing."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98103,14,Almost Never,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Enabled me to do things I never thought I could do.,"Writting group, some meals."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98102,15,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Sometimes,Most of the Time,Sometimes,Sometimes,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Friendship and opportunity to have a positive impact on others.,Writing
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98105,16,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Not Specified,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,NULL,Enhanced fitness.
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98105,17,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Better balance,enhanced fitness
2015,1,Wallingford Senior Center,00:00.0,00:00.0,American Indian or Alaska Native ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98125,18,Almost Never,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,I'm stronger so I can do more. I can walk my dog without being afraid of falling. My mind is sharper.,"Exercise class, various other activities on the calendar."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",NULL,19,Most of the Time,Sometimes,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Sometimes,Almost Never,Not Applicable,Most of the Time,The staff here have very clear objectives & a very responsive to engaging people - inclusively. Feel valued and respected.,"Teach a class, odd jobs."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",NULL,20,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Almost Never,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Enhansed fitness keeps me moving.,Enhanced fitness
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,21,Almost Never,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,NULL,Fitnedd classes
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98103,22,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,I enjoy being with friends and meeting new folks. The activities are fun & I have learned a lot.,"Writing, enhanced fitness, lunch program, interest groups."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,23,Almost Never,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,NULL,NULL
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98105,24,Almost Never,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,More outgoing,"Cards, when they need help, movies"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98107,25,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Sometimes,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Meet more people,"Exercise, trips, events"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98103,26,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Keeps me healthy,"Exercise class, teach the knitting class, in charge of weekly walking class. Also on the board."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98125,27,Almost Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Sometimes,Not Applicable,Sometimes,Sometimes,Most of the Time,Sometimes,Sometimes,Almost Never,Most of the Time,Just rejoined after a year away.,Conversation cafe
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98103,28,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,NULL,"Meditation, women of wisdom, retirement, community lunch, happy hour."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98105,29,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Before coming to WCSC I knew no one but family and was somewhat isolated.,"Mahjong, jigsaw puzzle, classes, meditation, scrabble, knitting group, conversation, lunch."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,30,Sometimes,Most of the Time,Not Applicable,Not Applicable,Sometimes,Sometimes,Most of the Time,Sometimes,Not Applicable,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Meeting new friends,"Womens conversation group, retirement & reinvention, knitting"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98103,31,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Isolating!! I have a sense of belonging.,"Volunteer, women's conversation cafe, retirement to reinvention, occasionally other activities."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98102,32,Not Applicable,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,"Lunches, All activities that Sarah facilitates, (conversation cafe, etc.)"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98006,33,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Enjoy doing everything,"Kitchen /desk, other activities"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98102,34,Not Specified,Sometimes,Not Specified,Not Specified,Most of the Time,Not Specified,Not Specified,Not Specified,Not Specified,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,NULL,NULL
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,35,Not Specified,Not Specified,Not Specified,Sometimes,Not Specified,Sometimes,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,NULL,Tuesday lunch
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98115,36,Almost Never,Most of the Time,Sometimes,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,We love yo play bridge and interact with friends. Would like glutten & dairy free lunch option.,Social bridge.
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,37,Not Specified,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,"Bridge games, lunch"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,Other ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98115,38,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,"Bridge playing, ""Yoga for the brain""!","Bridge, discussions"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,Other ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,39,Almost Never,Not Specified,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Almost Never,Sometimes,Most of the Time,Most of the Time,I really look forward to seeing my friends and playing bridge,Bridge and exercise
2015,1,Wallingford Senior Center,00:00.0,00:00.0,,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98105,40,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,NULL,"aerobics, bridge, income tax"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Asian, Asian-American ","Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98125,41,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"I love taking yoga, affordable lunch that is nutricious and tasty","Yoga, Tuesday lunch, senior lunch, medicare, emergency preparedness"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98040,42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NULL,ahjong
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98103,43,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Almost Never,Almost Never,Most of the Time,Most of the Time,Not Applicable,NULL,Tuesday bridge
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98115,44,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,I meet friends there to play games,"Bridge, scrabble"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,45,Most of the Time,Sometimes,Sometimes,Not Applicable,Almost Never,Not Applicable,Almost Never,Sometimes,Most of the Time,Most of the Time,Almost Never,Not Specified,Not Specified,Most of the Time,NULL,"Games, volunteering"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,46,Not Applicable,Most of the Time,Almost Never,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Added a new dimention to my life and openned up n=many new interests.,"Bridge, knitting, happy hour, computer help"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",NULL,47,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Sometimes,Sometimes,Not Applicable,Most of the Time,I met my very good friend here,Bridge
2015,1,Wallingford Senior Center,00:00.0,00:00.0,American Indian or Alaska Native ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98115,48,Almost Never,Most of the Time,Sometimes,Not Applicable,Not Applicable,Most of the Time,Sometimes,Almost Never,Not Applicable,Most of the Time,Sometimes,Sometimes,Almost Never,Most of the Time,NULL,Bridge
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98112,49,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,It is a consistant positive motive\ation in many areas of my life.,"Bridge, gardening, book club"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,American Indian or Alaska Native ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98115,50,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Sometimes,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,New friendly awareness of political activities,Bridge
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98102,51,Sometimes,Not Specified,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,I enjoy being sociable,"Bridge, writing"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",9810,52,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,"Help work lunch Tue, Wed & Fri"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98105,53,Most of the Time,Sometimes,Sometimes,Sometimes,Not Specified,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,NULL,NULL
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",NULL,54,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,NULL,NULL
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98115,55,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,"Gets me out, make new friends, interesting discussions, advocate for other seniors","Women's circle lunch, computer center, social worker service. Getting better, great staff"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98105,56,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Not Specified,Sometimes,Not Specified,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Gets me out with people and gives me a purpose in life,"Exercise, lunch.Being a medical person who can go to appts to be a liason between Drs & persons."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,American Indian or Alaska Native ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98107,57,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,volunteer
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Hispanic, Latino ","Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,58,Sometimes,Not Applicable,Most of the Time,Not Applicable,Sometimes,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,"enhanced fitness, social work help"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98102,59,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Not Applicable,Almost Never,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Made me realize that senior doesn't mean dead or even old!,Enhanced fitness
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98103,60,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Kept me doing more exercises,Exercise
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Asian, Asian-American ","Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98102,61,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Singspiration   meet nice people,"fitness, lunch, breakfast, singalong"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98125,62,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Almost Never,Almost Never,Almost Never,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,I enjoy volunteering - IO enjoy the Book Club & men's club. play bridge and eating lunch on Tuesday,"Men's club, book club, Tuesday lunch,  playing bridge on Wednesday"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98105,63,Sometimes,Almost Never,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,NULL,"Enhanced fitness, social activities."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98105,64,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,It is a good place for low stress socializing and there are often volunteer activities I can join in,"Fitness class, Artists way, scrabble, general socializing"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98121,65,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,I have learned how to use a computer. I now use my computer.,"Computer classes and computer mentoring,  Occasional one time class."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98105,66,Almost Never,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,Sometimes,NULL,Bridge
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98122,67,Sometimes,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"More comfy meals and friends / acquaintances, A comfortable and informative place to visit and hang out","Lunch, classes, computer help"
