RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
WS218,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,,"ukulele, time bank",0,1,0,0,0,0,0,98144,Low
WS219,West Seattle,09/01/2018,12/31/2018,Sometimes,,,Sometimes,Most of the time,,Most of the time,Almost Never,,Most of the time,Most of the time,Most of the time,,,More fun in life,ukulele group,0,0,0,0,0,1,0,98108,Low
WS220,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Learning new things, good community",ukulele dance,0,0,0,0,0,1,0,98116,
WS221,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Love the ukes!,The ukes singalong,0,0,0,0,0,1,0,98116,Above Moderate
WS222,West Seattle,09/01/2018,12/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,,0,0,0,0,0,0,0,,
WS223,West Seattle,09/01/2018,12/31/2018,Sometimes,,Sometimes,,Sometimes,Sometimes,Sometimes,Almost Never,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Someplace to go and play music and eat food,ukulele,0,1,0,1,0,0,0,98121,Very Low
WS224,West Seattle,09/01/2018,12/31/2018,,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Meeting new friends, sing along w/them",ukulele,0,1,0,0,0,0,0,98116,
WS225,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,,0,1,0,0,0,0,0,98116,Very Low
WS228,West Seattle,09/01/2018,12/31/2018,,,,,,,,,,,,,,,"met new friends, learned more about West Seattle, Fun activities",occasional class,0,0,0,0,0,1,0,98116,Above Moderate
WS229,West Seattle,09/01/2018,12/31/2018,Not Applicable,Almost Never,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,"Interesting entomology class, learned something new",occasionaly class,0,0,0,0,0,1,0,98116,Above Moderate
WS230,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Exercise, classes, lunch, special events",0,0,0,0,0,1,0,98116,Low
WS233,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"meditation, entomology, yoga, lunch",0,0,0,0,0,1,0,98122,Moderate
WS234,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,support groups,0,0,0,0,1,1,0,98116,Above Moderate
WS236,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Friendship and sense of community,"drumcircle, rainbow bingo",0,0,0,0,0,1,0,98116,Moderate
WS237,West Seattle,09/01/2018,12/31/2018,Almost Never,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Almost Never,,I enjoy the classes I take,Drumming,0,0,0,0,0,1,0,98116,Low
WS238,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,It's a breath of fresh air,,0,0,0,0,0,0,1,98119,Low
WS239,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Almost Never,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,"drumming, dancing, lunch",0,0,0,0,0,1,0,,
WS240,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,love the friends I've made and learning new skills,"drumming, Spanish, special events, musical events",0,0,0,0,0,1,0,98136,Moderate
WS247,West Seattle,09/01/2018,12/31/2018,Most of the time,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Most of the time,I like volunteering in the Stop & Shop,,0,0,0,0,0,1,0,98116,Low
WS248,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Not Applicable,Almost Never,Not Applicable,Most of the time,Almost Never,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,,Volunteer at stop & Shop,0,0,0,0,0,1,0,98136,Above Moderate
WS249,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,I feel connected to my community,"aging well, accasional lunches",0,0,0,0,0,1,0,98106,Above Moderate
WS250,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Senior Center has made my change of residence remarkably wonderful and enjoyable!,"Spanish class, aging well, diabetes, vision, yoga",0,0,0,0,0,1,0,98116,
WS251,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Making Friends,Yoga and aging well,0,0,0,0,0,1,0,98126,Above Moderate
WS253,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,,Not Applicable,Almost Never,,Sometimes,Sometimes,,Sometimes,gives me more to do,chair yoga,0,0,0,0,0,0,0,98126,Moderate
WS255,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Helped me to be more socially connected to other seniors,lunch and learn,0,0,1,0,0,0,0,98116,Very Low
WS256,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Go to lunch with my son,I haven't yet,0,0,0,0,0,1,0,98126,Very Low
WS257,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Sometimes,,Almost Never,Almost Never,Most of the time,,,0,0,0,0,0,1,0,,
WS258,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,for lunch,0,0,0,0,0,1,0,98116,
WS259,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,,,1,0,0,0,0,0,0,98146,Moderate
WS260,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,,1,0,0,0,0,0,0,98116,
WS261,West Seattle,09/01/2018,12/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Not Applicable,Not Applicable,Almost Never,Sometimes,More friends,lunch,0,0,0,0,0,1,0,98116,Very Low
WS262,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,I feel better and I like it,,0,0,0,0,1,0,0,98166,Very Low
WS263,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel good,zumba,0,0,0,0,1,0,0,98146,Very Low
WS264,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Socializing,zumb,0,0,0,0,1,0,0,98146,
WS265,West Seattle,09/01/2018,12/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I'm happier because I can socialize with friends,"Food Bank, shopping, zumba",0,0,0,0,1,0,0,98166,Very Low
WS266,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[spanish],zumba,0,0,0,0,1,0,0,98146,Very Low
WS267,West Seattle,09/01/2018,12/31/2018,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,great joy in meeting new people,"zumba, socializing, shopping",0,0,0,0,1,0,0,98144,
WS268,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel better,"food bank, lunch",0,0,0,0,1,0,0,98166,Very Low
WS269,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel more content,"socializing, lunch",0,0,0,0,1,0,0,98146,Very Low
WS270,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[response in Spanish},socializing,0,0,0,0,1,0,0,98146,Low
WS271,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[response in Spanish],"lunch, socializing",0,0,0,0,1,0,0,98106,Very Low
WS272,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Been more positive,"Zumba, food bank, lunch, socialization",0,0,0,0,1,0,0,98116,
WS273,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel good,"Zumba, lunch, socialization",0,0,0,0,1,0,0,98126,Very Low
WS274,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[Spanish],"Zumba, lunch",0,0,0,0,1,0,0,98118,Very Low
WS275,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[Response in Spanish],[response in spanish],0,0,0,0,1,0,0,98106,Low
WS276,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,[Spanish],"zumba, lunch",0,0,0,0,1,0,0,98146,Very Low
WS277,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Sometimes,Almost Never,Sometimes,Almost Never,Not Applicable,Most of the time,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,Most of the time,I feel happy,"Zumba, food bank, socialization",0,0,0,0,1,0,0,98146,Very Low
WS278,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel good,food bank,0,0,0,0,1,0,0,98146,Very Low
WS279,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,{response in spanish},,0,0,0,0,1,0,0,98146,
WS280,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Almost Never,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Enjoying sharing points of view,,0,0,0,0,0,1,0,98116,Above Moderate
WS281,West Seattle,09/01/2018,12/31/2018,Not Applicable,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Made it easier to acclimate to Seattle after moving from the East Coast,Reading group,0,0,0,0,0,1,0,98116,Above Moderate
WS282,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Not Applicable,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Great support group,Book club,0,0,0,0,0,0,1,98116,Moderate
WS283,West Seattle,09/01/2018,12/31/2018,,,,,,Most of the time,,,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,"Made friends, sharing like-mindedness","Reading, mindfulness, footcare",0,0,0,0,0,1,0,98126,Moderate
WS284,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,New friends energy and positive outlook,Book club and weight class,0,0,0,0,0,1,0,98116,Above Moderate
WS285,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,,gentle yoga,1,0,0,0,0,0,0,98126,Above Moderate
WS286,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Increased mobility,gentle yoga,0,0,0,0,0,0,1,98126,Very Low
WS287,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Yoga Class,"Yoga, watercolors",0,0,0,0,0,1,0,98114,Very Low
WS288,West Seattle,09/01/2018,12/31/2018,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98136,Low
WS289,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,made friends,"yoga, volunteer thrift shop",0,0,0,0,0,1,0,98116,Low
WS290,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteer at Stop n Shop, exercise and yoga class, watercolor",0,0,0,0,0,1,0,98146,Low
WS291,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,,"Yoga, dancing",0,0,0,0,0,1,0,98136,
WS292,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Not Applicable,Not Applicable,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Helps me to meet new people in my new home in Washington,Developing,0,0,0,0,0,1,0,98116,Above Moderate
WS293,West Seattle,09/01/2018,12/31/2018,Most of the time,Sometimes,Sometimes,Almost Never,Sometimes,Most of the time,Sometimes,Almost Never,Almost Never,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,"Voluntere, German , bug class",0,0,0,0,0,1,0,98126,Above Moderate
WS294,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Meet friends, exercise",Line Dance,0,0,0,0,0,1,0,98146,
WS295,West Seattle,09/01/2018,12/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,,"Line dancing, senior meals",0,0,0,0,0,1,0,98146,Moderate
WS296,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,More active in community,"Line dance, history class",0,0,0,0,0,1,0,98116,Moderate
WS297,West Seattle,09/01/2018,12/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,Most of the time,able to move easier and happy,"line dance, movies",0,0,0,0,0,1,0,98116,Moderate
WS298,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Love taking the classes,"Dance and art, Spanish",0,0,0,0,0,1,0,98146,Very Low
WS299,West Seattle,09/01/2018,12/31/2018,,Sometimes,,,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Bridge and Pinochle,0,0,0,0,0,1,0,98109,Very Low
WS300,West Seattle,09/01/2018,12/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A place to go and something to do,cards,0,0,0,0,0,1,0,98126,Very Low
WS301,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,More contact with friends,pinochle,0,0,0,0,0,1,0,98126,Above Moderate
WS302,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,It has filled my retirement years with interesting activities and people,"pinochle, office work, line dancing, ballroom dancing",0,0,0,0,0,1,0,98168,Low
WS303,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Can look forward to friends and fun activities every day,"pinochle, cribbage, cafe, yummy food, special holiday lunches",0,0,0,0,0,1,0,98136,Moderate
WS304,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Almost Never,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Most of the time,"friends, social support, community",,0,0,0,0,0,1,0,98126,
WS305,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Most of the time,Most of the time,Play bridge and pinochle & have made new friends,Bridge/pinochle,0,0,0,0,0,1,0,98168,Low
WS306,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not Applicable,,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,Fun,pinochle,0,0,0,0,0,1,0,98136,Above Moderate
WS307,West Seattle,09/01/2018,12/31/2018,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,"More relational, take better care of myself, take more educational classes, reduces my age-related fears/anxieties","meditation class, diabetic support group, coffee",0,0,0,0,0,1,0,98121,Very Low
WS308,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,
WS309,West Seattle,09/01/2018,12/31/2018,Most of the time,Most of the time,Most of the time,Not Applicable,,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,wonderful to learn new things and make new friends,"Meditation class, massage, classes, special events",0,0,0,0,0,1,0,98116,Above Moderate
WS311,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I eat better meals,None,0,0,0,0,0,1,0,98126,Very Low
WS312,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,front desk,0,0,0,0,0,1,0,98116,Low
WS313,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Most of the time,Not Applicable,Sometimes,Almost Never,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,New friends,"dance, exercise, bingo, shop, art, coffee, speeches",0,0,0,0,0,1,0,98116,Above Moderate
