RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
WS045,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Not Applicable,Sometimes,I have learned to play the ukulele in the key of E,Ukulele,0,0,0,0,0,0,0,98116,Moderate
WS046,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,,Sometimes,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Meet new friends,,0,0,0,0,0,1,0,,Low
WS047,West Seattle,01/01/2018,03/31/2018,Not Applicable,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,Most of the time,,,0,0,0,0,0,1,0,98126,Above Moderate
WS048,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,I see people I love. I have volunteer helpers through SW program,Low vision group - westside friend volunteer,0,0,0,0,1,0,0,98116,Moderate
WS049,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,"Meet more people, better food",Bingo,0,0,0,0,0,1,0,98126,Low
WS050,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Helps with my study of Spanish,Spanish class,0,0,0,0,0,1,0,98126,Moderate
WS051,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,"New friends, new activities","Volunteer at stop n' shop, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
WS052,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,,mahjong and cribbage,0,0,0,0,0,1,0,98116,Low
WS053,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,,Mahjong,1,0,0,0,0,1,0,98116,Low
WS054,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,"Made new friends, have fun",mahjong,0,0,0,0,0,1,0,98116,Very Low
WS055,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,,"Mahjong, Cribbage",0,0,0,0,0,1,0,98126,Unknown
WS057,West Seattle,01/01/2018,03/31/2018,,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Welcome and fun!,"Aging well, history class",0,0,0,0,0,1,0,98136,Above Moderate
WS058,West Seattle,01/01/2018,03/31/2018,,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,New interests and sense of community,"EnhanceFitness, writers group, occasional meals",0,0,0,0,0,1,0,98116,Very Low
WS059,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Expanded my social connections to my community and other people. Made friends,"West Seattle timebank, senior resource fair, community events",0,0,0,0,0,1,0,98126,Above Moderate
WS060,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,"EnhanceFitness, occasional programs",0,0,0,0,0,1,0,98116,Moderate
WS061,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Made me healthier and happier,"EnhanceFitness, classes, benefits",0,0,0,0,0,1,0,98116,Low
WS062,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Helped with depression,"meals, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
WS063,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,"I have met new people, moving in from another state this has been invaluable",exercise class,0,0,0,0,0,1,0,98126,Above Moderate
WS064,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,"Exercise, sometimes others",0,0,0,0,0,1,0,98136,Low
WS065,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,Low
WS068,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,,,,,,,,Sometimes,,,,,Talking /visiting with members has increased my knowledge of West Seattle and its history,Working  in the Stop n' Shop,0,0,1,0,0,0,0,98126,Very Low
WS069,West Seattle,01/01/2018,03/31/2018,,Most of the time,,Most of the time,Most of the time,Most of the time,,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,"It has helped me thrive, be more social and be more creative","food and nutrition, computer class",0,0,1,0,0,0,0,98116,Very Low
WS070,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Sometimes,Most of the time,Sometimes,Not Applicable,Sometimes,It has offered a new chance for occasional dancing,Spanish class,0,0,0,0,0,0,0,,Unknown
WS071,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Sr. Center is a wonderful multipurpose institution, many useful things in one location","Spanish language, computer center",0,0,0,0,0,1,0,98116,Moderate
WS072,West Seattle,01/01/2018,03/31/2018,,,,,,,,,,,Most of the time,,,Most of the time,"Not presently a member, have been taking Spanish here for 2 months, not long enough to answer",,0,0,0,0,0,1,0,98118,Moderate
WS073,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Spanish,0,0,0,0,1,0,0,98116,Above Moderate
WS074,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Not Applicable,Sometimes,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,I am a volunteer in the kitchen and it makes me feel better to elp out in a positive atmosphere,Spanish classes and events,0,0,0,0,0,1,0,98104,Above Moderate
WS075,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Almost Never,Not Applicable,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the time,,Conversational Spanish,0,0,0,0,0,1,0,98136,Unknown
WS076,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Since I recently moved from living in Ballard for 25 years, coming to the Sr. Ctr has made the change far more pleasant.","Yoga, aging well, Spanish",0,0,0,0,0,1,0,98116,Very Low
WS077,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,It has given me opportunities to learn,Spanish language class,0,0,0,0,0,1,0,98116,Unknown
WS078,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Not Applicable,Not Applicable,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,"Improvign my Spanish, meeting good",Spanish conversation class,0,0,0,0,0,1,0,98126,Unknown
WS079,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteering, Bingo",0,0,0,0,0,1,0,98116,Above Moderate
WS080,West Seattle,01/01/2018,03/31/2018,Almost Never,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,,,Most of the time,,,0,0,0,0,0,1,0,98166,Moderate
WS081,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Met fab people, discovered new volunteer opportunities","LGBT 2nd thursday out, Bingo, Bridge",0,0,0,0,0,1,0,98126,Above Moderate
WS082,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,adds a new dimension to my retired life,"Lunches, special events, Rainbow Bingo, pinochle",0,0,0,0,0,1,0,98106,Low
WS083,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,,"LGBT Night, Bingo, fundraisers, weight watchers",0,0,0,0,0,1,0,98126,Above Moderate
WS084,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,LGBT night out,0,0,0,0,0,1,0,98116,Above Moderate
WS085,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,2nd thursday out,0,0,0,0,0,1,0,98146,Unknown
WS086,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Not Applicable,Not Applicable,Sometimes,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Enjoy volunteering and meeting a new segment of the population,"Rainbow Bingo, LGBT Second Thursday OUt",0,0,0,0,0,1,0,98116,Above Moderate
WS087,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Most of the time,Most of the time,EnhanceFitness for injury recover and then it became fun,"EnhaneceFitness, 2nd thursday movies",0,0,0,0,0,1,0,98136,Unknown
WS088,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Almost Never,Almost Never,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Meeting new friends,LGBT meetings at SCWS,0,1,0,0,0,0,0,98126,Above Moderate
WS089,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,,,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,Very Low
WS095,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I have something at least once a week and friends to visit with,"classes, volunteer at the stop & shop",0,0,0,0,0,1,0,98116,Moderate
WS096,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,met my best friends here.,stop & Shop,0,0,0,0,0,1,0,98116,Very Low
WS097,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Not Applicable,Not Applicable,,Most of the time,Not Applicable,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,I have not many good friends over the years. Friends are special!,"Take courses, ex AARP defensive driving/volunteering in kitchen/us computers",0,0,0,0,0,1,0,98136,Moderate
WS098,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98136,Low
WS099,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,I am more positive and enjoy,,0,0,0,0,0,1,0,98125,Above Moderate
WS100,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Keeps me involved with the community,"classes, lunches, groups",0,0,0,0,0,0,0,,Unknown
WS107,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Since I plugged myself in 19 years ago, I feel more involved and useful","MOW, Accounting in the office, pinochle, line dancing",0,0,0,0,0,1,0,98168,Moderate
WS108,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Become more open,More conversation,0,0,0,0,0,1,0,,Low
