,RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
14,WS015,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,"I get to spend time with people, I make new friends","Junction Diner, massage",0,0,0,0,0,1,0,98116,Low
15,WS016,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,the above,,1,0,0,0,0,0,0,98116,Low
16,WS017,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Sometimes,Sometimes,Almost Never,Most of the time,,,0,0,1,0,0,0,0,98116,Very Low
17,WS018,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Consistently good food and activities,"Exercise, eating, socializing",0,0,0,0,0,1,0,98106,Moderate
18,WS019,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,"Since joining the center I have met new people, attended several events, book rentals, free income tax prep","Weekly lunches, rainbow bingo, special events, birthday lunch Tuesdays",0,0,0,0,0,1,0,98106,Low
19,WS020,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,,0,0,0,0,0,1,0,98126,Moderate
20,WS021,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteer, cribbage",0,0,0,0,0,1,0,98136,Above Moderate
21,WS022,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Almost Never,Almost Never,Almost Never,Most of the time,Most of the time,Almost Never,Almost Never,Most of the time,New friends,Cribbage and some events,0,0,0,0,0,1,0,98116,Unknown
22,WS023,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,"Love the class, the book group, and the oatmeal cookies! I look forward to both plus I know more resources.","book group, history class, computer class, driving class, etc.",0,0,0,0,0,1,0,98126,Moderate
23,WS024,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly as as a result of the reading group,"reading group, meals",0,0,0,0,0,1,0,98116,Above Moderate
24,WS030,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Sometimes,Most of the time,"Recently moved to Seattle, it gives me an anchor place to meet others","Reading group, weight watchers (just getting started)",0,0,0,0,0,1,0,98116,Low
25,WS031,West Seattle,01/01/2018,03/31/2018,Almost Never,Almost Never,Almost Never,Sometimes,Almost Never,Sometimes,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Sometimes,Almost Never,Most of the time,I get out of the house more,Aging well,0,0,0,0,0,0,0,98116,Moderate
26,WS032,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Sometimes,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Sometimes,Sometimes,Almost Never,Most of the time,See above,"Healthy aging class, library, cafe",0,0,0,0,0,1,0,98116,Moderate
27,WS033,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,It has added another thing to look forward to,Aging well,0,0,0,0,0,1,0,98106,Moderate
28,WS034,West Seattle,01/01/2018,03/31/2018,,Sometimes,,,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,,Most of the time,Good classes and information,"Group on aging, classes",0,0,0,0,0,1,0,98136,Above Moderate
29,WS035,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,,"Lunch, aging support group",0,0,0,0,0,1,0,98116,Low
30,WS036,West Seattle,01/01/2018,03/31/2018,Not Applicable,,Most of the time,Not Applicable,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,"Aging well, cafe once in a while",0,0,0,0,0,1,0,98126,Moderate
31,WS037,West Seattle,01/01/2018,03/31/2018,Not Applicable,,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Connections with many new friends and healthy living,"aging group, films, exercising, lunches",0,0,0,0,0,1,0,98146,Moderate
32,WS038,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,More active,,0,0,1,0,0,0,0,,Unknown
33,WS039,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I am now practicing and performing with the ukulele group,"Ukulele group, acrylic art class, occasional lunch",0,0,0,0,0,1,0,98116,Above Moderate
34,WS040,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Good reason to get out and socialize,"ukulele, movies, health",0,0,0,0,0,1,0,98106,Moderate
35,WS041,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I have a song in my mind every day. I have met many nice people.,"Ukulele, special events",0,0,0,0,0,1,0,98126,Above Moderate
36,WS042,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,"I fainaly have musiv back in my life, lots of positives like meeting new people",dance and ukulele group,0,0,0,0,0,1,0,98116,Moderate
37,WS043,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Almost Never,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Learned new activities and songs. Have a well balanced healthy meal at the center,ukulele play along,0,0,0,0,0,1,0,98106,Above Moderate
38,WS044,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,,"Uke, lunches",0,1,0,0,0,0,0,98168,Low
39,WS045,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Not Applicable,Sometimes,I have learned to play the ukulele in the key of E,Ukulele,0,0,0,0,0,0,0,98116,Moderate
40,WS046,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,,Sometimes,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Meet new friends,,0,0,0,0,0,1,0,,Low
41,WS047,West Seattle,01/01/2018,03/31/2018,Not Applicable,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,Most of the time,,,0,0,0,0,0,1,0,98126,Above Moderate
42,WS048,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,I see people I love. I have volunteer helpers through SW program,Low vision group - westside friend volunteer,0,0,0,0,1,0,0,98116,Moderate
43,WS049,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,"Meet more people, better food",Bingo,0,0,0,0,0,1,0,98126,Low
44,WS050,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Helps with my study of Spanish,Spanish class,0,0,0,0,0,1,0,98126,Moderate
45,WS051,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,"New friends, new activities","Volunteer at stop n' shop, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
46,WS052,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,,mahjong and cribbage,0,0,0,0,0,1,0,98116,Low
47,WS053,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,,Mahjong,1,0,0,0,0,1,0,98116,Low
48,WS054,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,"Made new friends, have fun",mahjong,0,0,0,0,0,1,0,98116,Very Low
49,WS055,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,,"Mahjong, Cribbage",0,0,0,0,0,1,0,98126,Unknown
50,WS057,West Seattle,01/01/2018,03/31/2018,,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Welcome and fun!,"Aging well, history class",0,0,0,0,0,1,0,98136,Above Moderate
51,WS058,West Seattle,01/01/2018,03/31/2018,,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,New interests and sense of community,"EnhanceFitness, writers group, occasional meals",0,0,0,0,0,1,0,98116,Very Low
52,WS059,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Expanded my social connections to my community and other people. Made friends,"West Seattle timebank, senior resource fair, community events",0,0,0,0,0,1,0,98126,Above Moderate
53,WS060,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,"EnhanceFitness, occasional programs",0,0,0,0,0,1,0,98116,Moderate
54,WS061,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Made me healthier and happier,"EnhanceFitness, classes, benefits",0,0,0,0,0,1,0,98116,Low
55,WS062,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Helped with depression,"meals, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
56,WS063,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,"I have met new people, moving in from another state this has been invaluable",exercise class,0,0,0,0,0,1,0,98126,Above Moderate
57,WS064,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,"Exercise, sometimes others",0,0,0,0,0,1,0,98136,Low
58,WS065,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,Low
59,WS068,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,,,,,,,,Sometimes,,,,,Talking /visiting with members has increased my knowledge of West Seattle and its history,Working  in the Stop n' Shop,0,0,1,0,0,0,0,98126,Very Low
60,WS069,West Seattle,01/01/2018,03/31/2018,,Most of the time,,Most of the time,Most of the time,Most of the time,,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,"It has helped me thrive, be more social and be more creative","food and nutrition, computer class",0,0,1,0,0,0,0,98116,Very Low
61,WS070,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Sometimes,Most of the time,Sometimes,Not Applicable,Sometimes,It has offered a new chance for occasional dancing,Spanish class,0,0,0,0,0,0,0,,Unknown
62,WS071,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Sr. Center is a wonderful multipurpose institution, many useful things in one location","Spanish language, computer center",0,0,0,0,0,1,0,98116,Moderate
63,WS072,West Seattle,01/01/2018,03/31/2018,,,,,,,,,,,Most of the time,,,Most of the time,"Not presently a member, have been taking Spanish here for 2 months, not long enough to answer",,0,0,0,0,0,1,0,98118,Moderate
64,WS073,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Spanish,0,0,0,0,1,0,0,98116,Above Moderate
65,WS074,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Not Applicable,Sometimes,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,I am a volunteer in the kitchen and it makes me feel better to elp out in a positive atmosphere,Spanish classes and events,0,0,0,0,0,1,0,98104,Above Moderate
66,WS075,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Almost Never,Not Applicable,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the time,,Conversational Spanish,0,0,0,0,0,1,0,98136,Unknown
67,WS076,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Since I recently moved from living in Ballard for 25 years, coming to the Sr. Ctr has made the change far more pleasant.","Yoga, aging well, Spanish",0,0,0,0,0,1,0,98116,Very Low
68,WS077,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,It has given me opportunities to learn,Spanish language class,0,0,0,0,0,1,0,98116,Unknown
69,WS078,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Not Applicable,Not Applicable,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,"Improvign my Spanish, meeting good",Spanish conversation class,0,0,0,0,0,1,0,98126,Unknown
70,WS079,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteering, Bingo",0,0,0,0,0,1,0,98116,Above Moderate
71,WS080,West Seattle,01/01/2018,03/31/2018,Almost Never,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,,,Most of the time,,,0,0,0,0,0,1,0,98166,Moderate
72,WS081,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Met fab people, discovered new volunteer opportunities","LGBT 2nd thursday out, Bingo, Bridge",0,0,0,0,0,1,0,98126,Above Moderate
73,WS082,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,adds a new dimension to my retired life,"Lunches, special events, Rainbow Bingo, pinochle",0,0,0,0,0,1,0,98106,Low
74,WS083,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,,"LGBT Night, Bingo, fundraisers, weight watchers",0,0,0,0,0,1,0,98126,Above Moderate
75,WS084,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,LGBT night out,0,0,0,0,0,1,0,98116,Above Moderate
76,WS085,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,2nd thursday out,0,0,0,0,0,1,0,98146,Unknown
77,WS086,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Not Applicable,Not Applicable,Sometimes,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Enjoy volunteering and meeting a new segment of the population,"Rainbow Bingo, LGBT Second Thursday OUt",0,0,0,0,0,1,0,98116,Above Moderate
78,WS087,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Most of the time,Most of the time,EnhanceFitness for injury recover and then it became fun,"EnhaneceFitness, 2nd thursday movies",0,0,0,0,0,1,0,98136,Unknown
79,WS088,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Almost Never,Almost Never,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Meeting new friends,LGBT meetings at SCWS,0,1,0,0,0,0,0,98126,Above Moderate
80,WS089,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,,,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,Very Low
81,WS095,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I have something at least once a week and friends to visit with,"classes, volunteer at the stop & shop",0,0,0,0,0,1,0,98116,Moderate
82,WS096,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,met my best friends here.,stop & Shop,0,0,0,0,0,1,0,98116,Very Low
83,WS097,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Not Applicable,Not Applicable,,Most of the time,Not Applicable,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,I have not many good friends over the years. Friends are special!,"Take courses, ex AARP defensive driving/volunteering in kitchen/us computers",0,0,0,0,0,1,0,98136,Moderate
84,WS098,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98136,Low
85,WS099,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,I am more positive and enjoy,,0,0,0,0,0,1,0,98125,Above Moderate
86,WS100,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Keeps me involved with the community,"classes, lunches, groups",0,0,0,0,0,0,0,,Unknown
87,WS107,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Since I plugged myself in 19 years ago, I feel more involved and useful","MOW, Accounting in the office, pinochle, line dancing",0,0,0,0,0,1,0,98168,Moderate
